4.870000 	 -nan 	 -nan	47.121739
4.880000 	 -nan 	 -nan	46.851572
4.890000 	 -nan 	 -nan	46.583428
4.900000 	 -nan 	 -nan	46.317288
4.910000 	 -nan 	 -nan	46.053133
4.920000 	 -nan 	 -nan	45.790945
4.930000 	 -nan 	 -nan	45.530707
4.940000 	 -nan 	 -nan	45.272401
4.950000 	 -nan 	 -nan	45.016008
4.960000 	 -nan 	 -nan	44.761513
4.970000 	 -nan 	 -nan	44.508897
4.980000 	 -nan 	 -nan	44.258144
4.990000 	 -nan 	 -nan	44.009237
5.000000 	 -nan 	 -nan	43.762159
5.010000 	 -nan 	 -nan	43.516894
5.020000 	 -nan 	 -nan	43.273425
5.030000 	 -nan 	 -nan	43.031737
5.040000 	 -nan 	 -nan	42.791814
5.050000 	 -nan 	 -nan	42.553639
5.060000 	 -nan 	 -nan	42.317198
5.070000 	 -nan 	 -nan	42.082474
5.080000 	 -nan 	 -nan	41.849452
5.090000 	 -nan 	 -nan	41.618118
5.100000 	 -nan 	 -nan	41.388457
5.110000 	 -nan 	 -nan	41.160453
5.120000 	 -nan 	 -nan	40.934092
5.130000 	 -nan 	 -nan	40.709359
5.140000 	 -nan 	 -nan	40.486240
5.150000 	 -nan 	 -nan	40.264722
5.160000 	 -nan 	 -nan	40.044789
5.170000 	 -nan 	 -nan	39.826428
5.180000 	 -nan 	 -nan	39.609625
5.190000 	 -nan 	 -nan	39.394367
5.200000 	 -nan 	 -nan	39.180640
5.210000 	 -nan 	 -nan	38.968430
5.220000 	 -nan 	 -nan	38.757726
5.230000 	 -nan 	 -nan	38.548512
5.240000 	 -nan 	 -nan	38.340777
5.250000 	 -nan 	 -nan	38.134508
5.260000 	 -nan 	 -nan	37.929692
5.270000 	 -nan 	 -nan	37.726316
5.280000 	 -nan 	 -nan	37.524368
5.290000 	 -nan 	 -nan	37.323836
5.300000 	 -nan 	 -nan	37.124708
5.310000 	 -nan 	 -nan	36.926971
5.320000 	 -nan 	 -nan	36.730614
5.330000 	 -nan 	 -nan	36.535624
5.340000 	 -nan 	 -nan	36.341991
5.350000 	 -nan 	 -nan	36.149702
5.360000 	 -nan 	 -nan	35.958746
5.370000 	 -nan 	 -nan	35.769113
5.380000 	 -nan 	 -nan	35.580789
5.390000 	 -nan 	 -nan	35.393765
5.400000 	 -nan 	 -nan	35.208029
5.410000 	 -nan 	 -nan	35.023571
5.420000 	 -nan 	 -nan	34.840380
5.430000 	 -nan 	 -nan	34.658444
5.440000 	 -nan 	 -nan	34.477754
5.450000 	 -nan 	 -nan	34.298300
5.460000 	 -nan 	 -nan	34.120069
5.470000 	 -nan 	 -nan	33.943053
5.480000 	 -nan 	 -nan	33.767242
5.490000 	 -nan 	 -nan	33.592624
5.500000 	 -nan 	 -nan	33.419191
5.510000 	 -nan 	 -nan	33.246932
5.520000 	 -nan 	 -nan	33.075838
5.530000 	 -nan 	 -nan	32.905898
5.540000 	 -nan 	 -nan	32.737104
5.550000 	 -nan 	 -nan	32.569446
5.560000 	 -nan 	 -nan	32.402914
5.570000 	 -nan 	 -nan	32.237499
5.580000 	 -nan 	 -nan	32.073192
5.590000 	 -nan 	 -nan	31.909984
5.600000 	 -nan 	 -nan	31.747866
5.610000 	 -nan 	 -nan	31.586828
5.620000 	 -nan 	 -nan	31.426863
5.630000 	 -nan 	 -nan	31.267961
5.640000 	 -nan 	 -nan	31.110113
5.650000 	 -nan 	 -nan	30.953312
5.660000 	 -nan 	 -nan	30.797547
5.670000 	 -nan 	 -nan	30.642812
5.680000 	 -nan 	 -nan	30.489097
5.690000 	 -nan 	 -nan	30.336395
5.700000 	 -nan 	 -nan	30.184696
5.710000 	 -nan 	 -nan	30.033994
5.720000 	 -nan 	 -nan	29.884280
5.730000 	 -nan 	 -nan	29.735546
5.740000 	 -nan 	 -nan	29.587783
5.750000 	 -nan 	 -nan	29.440986
5.760000 	 -nan 	 -nan	29.295144
5.770000 	 -nan 	 -nan	29.150252
5.780000 	 -nan 	 -nan	29.006301
5.790000 	 -nan 	 -nan	28.863283
5.800000 	 -nan 	 -nan	28.721192
5.810000 	 -nan 	 -nan	28.580020
5.820000 	 -nan 	 -nan	28.439760
5.830000 	 -nan 	 -nan	28.300403
5.840000 	 -nan 	 -nan	28.161944
5.850000 	 -nan 	 -nan	28.024376
5.860000 	 -nan 	 -nan	27.887690
5.870000 	 -nan 	 -nan	27.751880
5.880000 	 -nan 	 -nan	27.616939
5.890000 	 -nan 	 -nan	27.482861
5.900000 	 -nan 	 -nan	27.349638
5.910000 	 -nan 	 -nan	27.217264
5.920000 	 -nan 	 -nan	27.085732
5.930000 	 -nan 	 -nan	26.955036
5.940000 	 -nan 	 -nan	26.825169
5.950000 	 -nan 	 -nan	26.696124
5.960000 	 -nan 	 -nan	26.567896
5.970000 	 -nan 	 -nan	26.440477
