-1.900000 	 -nan 	 -nan	318.309886
-1.890000 	 -nan 	 -nan	318.309886
-1.880000 	 -nan 	 -nan	318.309886
-1.870000 	 -nan 	 -nan	318.309886
-1.860000 	 -nan 	 -nan	318.309886
-1.850000 	 -nan 	 -nan	318.309886
-1.840000 	 -nan 	 -nan	318.309886
-1.830000 	 -nan 	 -nan	318.309886
-1.820000 	 -nan 	 -nan	318.309886
-1.810000 	 -nan 	 -nan	318.309886
-1.800000 	 -nan 	 -nan	318.309886
-1.790000 	 -nan 	 -nan	318.309886
-1.780000 	 -nan 	 -nan	318.309886
-1.770000 	 -nan 	 -nan	318.309886
-1.760000 	 -nan 	 -nan	318.309886
-1.750000 	 -nan 	 -nan	318.309886
-1.740000 	 -nan 	 -nan	318.309886
-1.730000 	 -nan 	 -nan	318.309886
-1.720000 	 -nan 	 -nan	318.309886
-1.710000 	 -nan 	 -nan	318.309886
-1.700000 	 -nan 	 -nan	318.309886
-1.690000 	 -nan 	 -nan	318.309886
-1.680000 	 -nan 	 -nan	318.309886
-1.670000 	 -nan 	 -nan	318.309886
-1.660000 	 -nan 	 -nan	318.309886
-1.650000 	 -nan 	 -nan	318.309886
-1.640000 	 -nan 	 -nan	318.309886
-1.630000 	 -nan 	 -nan	318.309886
-1.620000 	 -nan 	 -nan	318.309886
-1.610000 	 -nan 	 -nan	318.309886
-1.600000 	 -nan 	 -nan	318.309886
-1.590000 	 -nan 	 -nan	318.309886
-1.580000 	 -nan 	 -nan	318.309886
-1.570000 	 -nan 	 -nan	318.309886
-1.560000 	 -nan 	 -nan	318.309886
-1.550000 	 -nan 	 -nan	318.309886
-1.540000 	 -nan 	 -nan	318.309886
-1.530000 	 -nan 	 -nan	318.309886
-1.520000 	 -nan 	 -nan	318.309886
-1.510000 	 -nan 	 -nan	318.309886
-1.500000 	 -nan 	 -nan	318.309886
-1.490000 	 -nan 	 -nan	318.309886
-1.480000 	 -nan 	 -nan	318.309886
-1.470000 	 -nan 	 -nan	318.309886
-1.460000 	 -nan 	 -nan	318.309886
-1.450000 	 -nan 	 -nan	318.309886
-1.440000 	 -nan 	 -nan	318.309886
-1.430000 	 -nan 	 -nan	318.309886
-1.420000 	 -nan 	 -nan	318.309886
-1.410000 	 -nan 	 -nan	318.309886
