0.010000 	 -nan 	 -nan	-nan
4.490000 	 1.888706 	 1.146580	2.209492
4.500000 	 1.888098 	 1.145350	2.208334
4.510000 	 1.887486 	 1.144123	2.207175
4.520000 	 1.886871 	 1.142900	2.206015
4.530000 	 1.886252 	 1.141681	2.204855
4.540000 	 1.885630 	 1.140466	2.203694
4.550000 	 1.885005 	 1.139255	2.202532
4.560000 	 1.884377 	 1.138047	2.201369
4.570000 	 1.883745 	 1.136843	2.200206
4.580000 	 1.883110 	 1.135643	2.199042
4.590000 	 1.882472 	 1.134446	2.197878
4.600000 	 1.881830 	 1.133253	2.196713
4.610000 	 1.881186 	 1.132064	2.195547
4.620000 	 1.880538 	 1.130878	2.194381
4.630000 	 1.879888 	 1.129696	2.193215
4.640000 	 1.879234 	 1.128518	2.192048
4.650000 	 1.878577 	 1.127343	2.190880
4.660000 	 1.877918 	 1.126172	2.189712
4.670000 	 1.877256 	 1.125004	2.188544
4.680000 	 1.876591 	 1.123840	2.187375
4.690000 	 1.875923 	 1.122680	2.186206
4.700000 	 1.875252 	 1.121523	2.185036
4.710000 	 1.874578 	 1.120369	2.183866
4.720000 	 1.873902 	 1.119219	2.182696
4.730000 	 1.873223 	 1.118072	2.181525
4.740000 	 1.872542 	 1.116929	2.180354
4.750000 	 1.871858 	 1.115789	2.179183
4.760000 	 1.871171 	 1.114653	2.178011
4.770000 	 1.870482 	 1.113520	2.176839
4.780000 	 1.869790 	 1.112390	2.175667
4.790000 	 1.869096 	 1.111264	2.174495
4.800000 	 1.868400 	 1.110141	2.173322
4.810000 	 1.867701 	 1.109021	2.172150
4.820000 	 1.867000 	 1.107905	2.170977
4.830000 	 1.866296 	 1.106791	2.169804
4.840000 	 1.865590 	 1.105682	2.168631
4.850000 	 1.864882 	 1.104575	2.167457
4.860000 	 1.864172 	 1.103472	2.166284
4.870000 	 1.863459 	 1.102372	2.165110
4.880000 	 1.862744 	 1.101275	2.163937
4.890000 	 1.862027 	 1.100181	2.162763
4.900000 	 1.861308 	 1.099091	2.161589
4.910000 	 1.860587 	 1.098003	2.160416
4.920000 	 1.859864 	 1.096919	2.159242
4.930000 	 1.859139 	 1.095838	2.158068
4.940000 	 1.858412 	 1.094760	2.156894
4.950000 	 1.857682 	 1.093685	2.155721
4.960000 	 1.856951 	 1.092613	2.154547
4.970000 	 1.856218 	 1.091545	2.153373
4.980000 	 1.855483 	 1.090479	2.152200
4.990000 	 1.854747 	 1.089417	2.151026
5.000000 	 1.854008 	 1.088357	2.149853
5.010000 	 1.853267 	 1.087301	2.148679
5.020000 	 1.852525 	 1.086247	2.147506
5.030000 	 1.851781 	 1.085196	2.146333
5.040000 	 1.851036 	 1.084149	2.145160
5.050000 	 1.850288 	 1.083104	2.143987
5.060000 	 1.849539 	 1.082063	2.142815
5.070000 	 1.848789 	 1.081024	2.141642
5.080000 	 1.848036 	 1.079988	2.140470
5.090000 	 1.847282 	 1.078955	2.139298
5.100000 	 1.846527 	 1.077926	2.138126
5.110000 	 1.845770 	 1.076898	2.136955
5.120000 	 1.845011 	 1.075874	2.135784
